Member,Values,Condition
1301.011,40,Above
1301.011,45,Above
1301.011,50,Above
1301.011,55,Above
1301.011,60,Above
1301.011,65,Above
1301.011,70,Above
1301.011,91,Below
1301.011,96,Below
1301.011,101,Below
1301.011,106,Below
1301.012,69,Below
1301.012,74,Below
1301.012,79,Below
1301.012,84,Below
1301.013,40,Above
1301.013,45,Above
1301.013,50,Above
1301.013,55,Above
1301.013,60,Above
1301.013,65,Above
1301.013,139,Below
1301.013,144,Below
1301.014,45,Above
1301.014,50,Above
1301.014,55,Above
1301.014,60,Above
1301.014,113,Below
1301.014,118,Below
1301.014,123,Below
1301.014,128,Below
1301.015,40,Above
1301.015,45,Above
1301.015,50,Above
1301.015,55,Above
1301.015,72,Below
1301.015,77,Below
1301.015,82,Below
1301.015,87,Below
1301.015,92,Below
1301.015,97,Below
1301.015,113,Above
1301.015,118,Above
1301.016,78,Below
1301.016,83,Below
1301.016,88,Below
1301.016,93,Below
1301.017,40,Above
1301.017,45,Above
1301.017,50,Above
1301.017,100,Above
1301.017,105,Above
1301.017,110,Above
1301.017,115,Above
1301.017,140,Below
1301.017,145,Below
1301.017,150,Below
1301.017,155,Below
1301.017,160,Below
1301.018,40,Below
1301.018,45,Below
1301.018,80,Above
1301.018,85,Above
1301.018,90,Above
1301.018,95,Above
1301.018,100,Above
1301.019,40,Above
1301.019,45,Above
1301.019,50,Above
1301.019,55,Above
1301.019,60,Above
1301.019,75,Below
1301.019,80,Below
1301.019,85,Below
1301.019,90,Below
1301.019,95,Below
1301.019,100,Below
1301.019,105,Below
1301.019,118,Above
1301.019,123,Above
1301.019,128,Above
1301.020,40,Above
1301.020,61,Above
1301.020,66,Above
1301.020,71,Above
1301.020,76,Above
1301.020,81,Above
1301.020,108,Below
1301.020,113,Below
1301.020,118,Below
1301.020,123,Below
1301.020,151,Above
1301.020,156,Above
